usage_atomique,occurrences
cave de 0a.07 au rez-de-chaussée du bâtiment porté sous art. 2211,1
cave de 0.06 avançant sous le rez-de-chaussée à l'angle sud est du bâtiment porté sous art. 1485,1
maison d'habitation de 0.92c sous le rez-de-chaussée de ce bâtiment à l'angle sud-ouest est une cave de 0.06 faisant parti de l'art. 1772,1
maison d'habitation soit terrasse dessus,1
bûcher de 0.25c construit sur domaine public,1
chambres de 0a.15c construites sur domaine public,1
portion de chore d'eglise,1
temple allemand,1
sacristie,1
ecole industrielle,1
chambre au 1er étage du bâtiment porté sous art. 3854,1
cave au rez-de-chaussée,1
les autres parts sont portées sous art. 245,1
2me et 3me étages et mansardes d'un bâtiment de 0a.19c. le rez-de-chaussée et le 1er étage sont portés sous art. 2788,1
3me étages et mansardes d'un bâtiment de 0a.13c; le rez-de-chaussée et le 1er étage sont portés sous art. 3698,1
rez-de-chaussée et 1er étage d'un bâtiment de 0a.13c; les 2me,1
3me étages et les mansardes sont portés sous art. 246,1
1/2 d'escalier de 0a.05c construit sur le domaine public,1
l'autre part est portée sous art. 782,1
halle aux poissons,1
atelier avec terrasse dessus,1
hotel des postes,1
remise des voitures,1
place sur laquelle est construit un bâtiment porté sous art. 1811,1
atelier de ganterie,1
magasin de 309m construit sur le sol porté sous art. 1812,1
à l'occident de ce bâtiment existe un passage en faveur du no. 66,1
rez-de-chaussée d'une maison d'habitation de 0a.06c,1
l'autre part est portée sous art. 1042,1
maison d'habitation de 12m moins le 2me étage qui est construit sur le domaine public porté sous art. 740,1
2me étage d'une maison d'habitation de 12m construite sur domaine public,1
l'autre part est sous art. 1044,1
maison d'habitation de 0.11m construite sur domaine public moins le 2me étage qui est porté sous art. 741,1
2me étage d'une maison d'habitation de 11m construite sur domaine public,1
l'autre part est sous art. 1045,1
maison d'habitation de 0.24 construite sur domaine public,1
maison d'habitation 0.12 construit sur domaine public,1
1er,1
3me,1
4me et 5ème étage d'une maison d'habitation de 0a.06,1
l'autre part est portée sous art. 78,1
1/3 indéterminé d'une place indivise de 0.09 en totalité,1
l'autre part est portée sous art. 3605,1
2/3 indéterminés d'une place indivise de 0.09 en totalité,1
l'autre part est portés sous art. 2253,1
hôtel des messageries,1
remise de pompe à incendie,1
hôtel gibbon,1
place sur laquelle est construit un bâtiment porté sous art. 3770,1
magasins de 1a.26c construits sur le sol porté sous art. 1947,1
maison d'habitation de 0a.41c construite sur le sol porté sous art. 1626,1
remise et bûcher de 0a.32c construits sur le sol porté sous art. 1626,1
couvert de fontaine voûté,1
maison d'habitation avec galerie,1
hôtel du grand pont,1
entrées de caves et terrasse de 0.13 construites sur domaine public,1
hôtel de la poste,1
hôtel beau site,1
buanderie et caves de 0.81,1
le sol est porté sous art. 1951,1
cercle de l'arc,1
salle à manger,1
hôtel richemont,1
place sous laquelle est un bâtiment porté sous art. 3033,1
bûcher sous terrasse,1
l'autre part est portée sous art. 2982,1
l'autre part est portée sous art. 1735,1
chemin 1/3 indéterminé d'une place soit chemin indivis de 1a.65 en totalité,1
les autres parts sont portées sous art. 3813,1
3813,1
atelier de tonnelier,1
hangar et écurie de 3a.17 construits sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 999,1
hangar de 1a.13c construit sur le sole porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 2157,1
atelier de 92 centiares construit sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment proté sous art. 2948,1
hangar de 2a.07 construit sur le sol porté sous art.,1
hangar de 1a.73c construit sur le sol porté sous art. 2085,1
place sur laquelle est construit un bâtiment porté sous art. 1861,1
fenil de 0a.44c construits sur le sol porté sous art. 2086,1
hangar de 0a.87c construit sur le sol porté sous art. 2086,1
bureaux de 4a.02c construits sur le sol porté sous art. 2086,1
dépôt de bois et charbon construits sur le sol porté sous art. 2087,1
place sur laquelle est construit un bâtiment porté sous art. 2932,1
atelier de réparations,1
pavillon d'occident,1
pavillon d'orient,1
four construits par pfluger frères,1
magasins de 2a.36c construits sur le sol porté sous art. 2090,1
place sur laquelle est construit un bâtiment porté sous art. 2965,1
couvert de 0a.22 construit sur le sol porté sous art. 2091,1
maison d'habitation et buffet de 0a.86 construits sur le sol porté sous art. 2091,1
bois soit place,1
atelier de marbrerie (vodoz),1
hangar de 0a.47 construit sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 3378,1
hangar de 1a.25 construit sur le sol porté sous art. 2084,1
place sur laquelle est construit un bâtiment porté sous art. 2239,1
atelier de serrurier et bureau de 1a.67 construit sur le sol porté sous art. 2084,1
place sous laquelle est un bâtiment porté sous art. 3950,1
écurie de 1a.47 construits sur le sol porté sous art. 2085,1
place sur laquelle est construit un bâtiment porté sous art. 1064,1
bâtiment de la machine à vapeur,1
canal,1
bureau et hangar,1
garde manger,1
entrepôt de 20a.62c construit sur le sol porté sous art.,1
les autres parts sont portées sous art. 3081,1
3081,1
écoles,1
hôtel des trois suisses,1
bureaux de la caisse hypothécaire,1
hotel de france,1
dépôt et remise de la pompe à feu,1
place sur laquelle existe un droit de passage en faveur de no. 182,1
magasin de 1a.53 avec cave de 0.06,1
située à l'angle nord-ouest de l'art. 13,1
à l'angle nord-ouest de ce bâtiment est une cave de 0.06 faisant partie de l'art. 1712,1
cave de 0a.26c située dans le bâtiment porté sous art. 1642,1
maison d'habitation dans laquelle est une cave de 0a.26c portés sous art. 1782,1
bureau construit par gruaz,1
maison d'habitation (neuhaus),1
hangar construit par studinger,1
remise construites par morandi,1
hangar construit par marulaz,1
atelier construit par chapuis,1
fenil construits par cachin,1
etable à porcs construite par tivel,1
fenil construits par tivel,1
maison d'habitation construite par tivel,1
hangar construit par balissat,1
forge construite par balissat,1
hangar construit par fatoto et salero,1
poids public,1
couvert du poids public,1
chambre à lessive et à repasser avec 2 chambres mansardées,1
maison d'habitation (construite par emile devallière),1
faculté de théologie libre,1
2/3 indéterminés d'une place soit passage indivis de 0a.57c en totalité,1
l'autre part est portée sous art. 3423,1
atelier de serrurerie et menuiserie,1
atelier de gypserie,1
hangars,1
atelier de ferblanterie,1
1/3 indéterminé d'une place soit passage indivis de 0y.57c en totalité,1
l'autre part est portée sous art. 1849,1
place soit terrasse sur le bâtiment porté sous art. 3474,1
chambre à farine avec terrasse dessus de 0a.34; la terrasse est porté sous art. 1451,1
collège st-roch,1
1836,1
les autres parts sont sous art. 1836,1
ecole spéciale,1
fenil construits par samuel maget,1
couvert construit par samuel maget,1
dépôt de machines,1
fabrique de planelles,1
chambre à resserre,1
atelier (pré dessus),1
cave voutée,1
couvert d'escalier,1
1/3 indéterminé d'une place soit chemin indivis de 0a.57c en totalité; les autres parts sont portées sous art. 1655,1
1655,1
bosquet (bois),1
chambre à lessive et étendage,1
entrée,1
hangar construit par thévenaz,1
basse cour,1
fumoir à viande,1
4/6 indéterminé d'une place soit chemin indivis de 1a.20c en totalité; l'autre part est portée sous art. 1409,1
2/6 indéterminés d'une place soit chemin indivis de 1a.20c en totalité; l'autre part est portée sous art. 648,1
maison d'habitation avec galeries,1
atelier construit par overnay,1
scierie à vapeur,1
chaudière à vapeur (place dessus),1
hangar de 0a.40 construits sur le sol porté sous art. 138,1
place sur laquelle est construit un bâtiment porté sous art. 2422,1
fabrique de produits stéariques,1
hôpital,1
maison du portier,1
dépôt d'essences,1
ancien hôpital,1
hangar de la pompe à feu,1
dépôt de pétrole,1
hôtel de l'ours,1
presbytère,1
poste de gendarmerie,1
salle des machines,1
pénitencier des hommes,1
fabrique de colle,1
magasin de toiles,1
chambre à soufre,1
pénitencier des femmes,1
chaudière à vapeur,1
l'autre part est sous art. 2770,1
l'autre part est sous art. 2633,1
les autres parts sont portées sous article 120,1
4/6 indéterminé d'une place indivise de 3a.66 en totalité,1
120,1
1/6 indéterminé d'une place soit chemin indivis de 1a.80c en totalité; les autres parts sont portées sous art. 2236,1
2/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité,1
1/6 indéterminé d'une place soit chemin indivis de 0a.30c en totalité; les autres parts sont portées sous art. 2229,1
cave (terrasse dessus),1
1/12 indéterminé d'une place soit chemin indivis de 0a.30c en totalité,1
3/12 indéterminés d'une place soit chemin indivis de 0a.30c en totalité,1
6/12 indéterminés d'une place soit chemin indivis de 0a.30c en totalité,1
3/6 indéterminés d'une place soit chemin indivis de 1a.80c en totalité,1
1/6 indéterminé d'une place soit chemin indivis de 1a.38c en totalité,1
les autres parts sont portées sous art. 2236,1
2/6 indéterminés d'une place soit chemin indivis de 1a.38c en totalité,1
3/6 indéterminés d'une place soit chemin indivis de 1a.38c en totalité,1
3/4 indéterminés d'un chemin indivis de 3a.40 en totalité,1
l'autre partie est portée sous art. 1251,1
1/4 indéterminé d'un chemin indivis de 3a.40 en totalité,1
l'autre partie est portée sous art.3046,1
place soit terrasse,1
remise à voitures,1
fontaine couverte,1
office,1
cave (pré,1
parc dessus),1
bains de 5a.14c construits sur domaine public,1
serres,1
serre (terrasse dessus),1
etable à porcs (terrasse),1
chalet,1
cave (terrasse),1
logement du concierge,1
l'autre portion est portée sous art. 2606,1
l'autre portion est portée sous art. 2553,1
portion de bâtiment de 0a.96c en totalité consistant en: la cave à l'angle sud-ouest (la dite cave avance de un mètre sous le bâtiment porté sous art. 3480) les autres parts sont sous art. 3480,1
portion de bâtiment de 0a.96c en totalité consistant en: la cave à l'angle sud-est (la dite cave avance de un mètre sous le bâtiment porté sous art. 2935) les autres parts sont sous art. 2935,1
portion de bâtiment de 0a.96c en totalité consistant en: le petit caveau au fond du corridor avec la chambre à lessive à l'angle nord-est au rez-de-chaussée,1
le logement à orient au 1er étage,1
la chambre à l'angle nord-est du 3me étage,1
portion de bâtiment de 0a.96c en totalité consistant en: le logement au sud et à l'est au 2me étage avec le galetas au-dessus de la cuisine et le galetas à l'angle nord-est au-dessus de la chambre du 3me étage à la veuve desponds,1
